source,target,relation
8,214,"r_whois_phone"
8,215,"r_whois_phone"
8,19,"r_dns_a"
8,20,"r_dns_a"
8,19,"r_dns_a"
8,61,"r_whois_email"
8,73,"r_dns_a"
8,73,"r_dns_a"
8,205,"r_whois_name"
8,319,"r_cert"
8,432,"r_subdomain"
40,39,"r_cidr"
42,41,"r_cidr"
47,187,"r_asn"
48,187,"r_asn"
63,187,"r_asn"
69,68,"r_cidr"
92,164,"r_dns_a"
92,516,"r_request_jump"
93,32,"r_dns_a"
93,34,"r_dns_a"
93,66,"r_dns_a"
93,516,"r_request_jump"
94,129,"r_dns_a"
94,516,"r_request_jump"
95,128,"r_dns_a"
95,516,"r_request_jump"
96,27,"r_dns_a"
96,28,"r_dns_a"
96,76,"r_dns_a"
96,516,"r_request_jump"
97,23,"r_dns_a"
97,24,"r_dns_a"
97,79,"r_dns_a"
97,516,"r_request_jump"
98,445,"r_subdomain"
101,37,"r_dns_a"
101,38,"r_dns_a"
101,65,"r_dns_a"
101,516,"r_request_jump"
102,53,"r_dns_a"
102,54,"r_dns_a"
102,74,"r_dns_a"
102,516,"r_request_jump"
103,162,"r_dns_a"
103,516,"r_request_jump"
104,21,"r_dns_a"
104,22,"r_dns_a"
104,81,"r_dns_a"
104,516,"r_request_jump"
105,83,"r_dns_a"
105,516,"r_request_jump"
106,163,"r_dns_a"
106,516,"r_request_jump"
107,31,"r_dns_a"
107,33,"r_dns_a"
107,72,"r_dns_a"
107,516,"r_request_jump"
108,167,"r_dns_a"
108,516,"r_request_jump"
109,51,"r_dns_a"
109,52,"r_dns_a"
109,62,"r_dns_a"
109,516,"r_request_jump"
110,82,"r_dns_a"
110,516,"r_request_jump"
111,49,"r_dns_a"
111,50,"r_dns_a"
111,71,"r_dns_a"
111,516,"r_request_jump"
112,84,"r_dns_a"
112,516,"r_request_jump"
113,57,"r_dns_a"
113,58,"r_dns_a"
113,75,"r_dns_a"
113,516,"r_request_jump"
114,44,"r_dns_a"
114,46,"r_dns_a"
114,78,"r_dns_a"
114,516,"r_request_jump"
115,168,"r_dns_a"
115,516,"r_request_jump"
117,25,"r_dns_a"
117,26,"r_dns_a"
117,67,"r_dns_a"
117,516,"r_request_jump"
118,43,"r_dns_a"
118,45,"r_dns_a"
118,70,"r_dns_a"
118,516,"r_request_jump"
119,47,"r_dns_a"
119,48,"r_dns_a"
119,47,"r_dns_a"
119,48,"r_dns_a"
119,63,"r_dns_a"
119,63,"r_dns_a"
119,184,"r_cert"
119,463,"r_subdomain"
119,496,"r_request_jump"
120,29,"r_dns_a"
120,30,"r_dns_a"
120,80,"r_dns_a"
120,516,"r_request_jump"
121,55,"r_dns_a"
121,56,"r_dns_a"
121,64,"r_dns_a"
121,516,"r_request_jump"
132,86,"r_dns_a"
132,567,"r_request_jump"
133,567,"r_request_jump"
155,19,"r_dns_a"
155,20,"r_dns_a"
155,73,"r_dns_a"
155,157,"r_cert"
166,472,"r_subdomain"
176,473,"r_subdomain"
182,474,"r_subdomain"
237,206,"r_whois_phone"
237,19,"r_dns_a"
237,20,"r_dns_a"
237,73,"r_dns_a"
237,172,"r_cert"
237,191,"r_whois_name"
237,379,"r_whois_email"
241,150,"r_dns_a"
242,475,"r_subdomain"
245,47,"r_dns_a"
245,48,"r_dns_a"
245,63,"r_dns_a"
245,478,"r_subdomain"
246,136,"r_dns_a"
246,137,"r_dns_a"
248,0,"r_cert"
248,40,"r_dns_a"
248,42,"r_dns_a"
248,40,"r_dns_a"
248,42,"r_dns_a"
248,69,"r_dns_a"
248,69,"r_dns_a"
248,255,"r_whois_email"
249,218,"r_whois_phone"
249,47,"r_dns_a"
249,48,"r_dns_a"
249,47,"r_dns_a"
249,63,"r_dns_a"
249,63,"r_dns_a"
249,146,"r_cert"
249,197,"r_whois_name"
249,421,"r_whois_email"
249,479,"r_subdomain"
250,35,"r_dns_a"
250,36,"r_dns_a"
250,77,"r_dns_a"
250,90,"r_whois_email"
250,282,"r_cert"
258,480,"r_subdomain"
263,481,"r_subdomain"
264,482,"r_subdomain"
265,47,"r_dns_a"
265,48,"r_dns_a"
265,47,"r_dns_a"
265,63,"r_dns_a"
265,63,"r_dns_a"
265,309,"r_cert"
266,483,"r_subdomain"
267,484,"r_subdomain"
268,485,"r_subdomain"
269,15,"r_dns_a"
269,17,"r_dns_a"
269,572,"r_request_jump"
275,9,"r_dns_a"
275,10,"r_dns_a"
275,477,"r_subdomain"
275,534,"r_subdomain"
275,568,"r_subdomain"
276,209,"r_whois_phone"
276,35,"r_dns_a"
276,36,"r_dns_a"
276,77,"r_dns_a"
276,179,"r_cert"
276,190,"r_whois_name"
276,277,"r_whois_email"
278,211,"r_whois_phone"
278,47,"r_dns_a"
278,48,"r_dns_a"
278,63,"r_dns_a"
278,135,"r_cert"
278,193,"r_whois_name"
278,244,"r_whois_email"
278,320,"r_request_jump"
278,489,"r_subdomain"
279,490,"r_subdomain"
281,3,"r_cert"
281,19,"r_dns_a"
281,20,"r_dns_a"
281,19,"r_dns_a"
281,20,"r_dns_a"
281,73,"r_dns_a"
281,73,"r_dns_a"
281,572,"r_request_jump"
284,491,"r_subdomain"
285,35,"r_dns_a"
285,36,"r_dns_a"
285,35,"r_dns_a"
285,36,"r_dns_a"
285,77,"r_dns_a"
285,77,"r_dns_a"
285,154,"r_cert"
285,492,"r_subdomain"
290,210,"r_whois_phone"
290,19,"r_dns_a"
290,20,"r_dns_a"
290,73,"r_dns_a"
290,203,"r_whois_name"
290,291,"r_cert"
290,399,"r_request_jump"
290,493,"r_subdomain"
294,40,"r_dns_a"
294,42,"r_dns_a"
294,40,"r_dns_a"
294,69,"r_dns_a"
294,69,"r_dns_a"
294,231,"r_cert"
294,495,"r_subdomain"
294,572,"r_request_jump"
298,19,"r_dns_a"
298,20,"r_dns_a"
298,73,"r_dns_a"
298,228,"r_cert"
298,353,"r_request_jump"
298,497,"r_subdomain"
304,498,"r_subdomain"
305,47,"r_dns_a"
305,48,"r_dns_a"
305,63,"r_dns_a"
305,262,"r_cert"
306,19,"r_dns_a"
306,20,"r_dns_a"
306,19,"r_dns_a"
306,20,"r_dns_a"
306,73,"r_dns_a"
306,73,"r_dns_a"
306,173,"r_cert"
306,194,"r_whois_name"
306,323,"r_whois_email"
306,499,"r_subdomain"
307,19,"r_dns_a"
307,20,"r_dns_a"
307,60,"r_cert"
307,73,"r_dns_a"
313,35,"r_dns_a"
313,36,"r_dns_a"
313,77,"r_dns_a"
313,169,"r_cert"
313,314,"r_whois_email"
313,315,"r_whois_email"
313,316,"r_whois_email"
313,500,"r_subdomain"
320,138,"r_dns_a"
321,501,"r_subdomain"
322,16,"r_dns_a"
322,18,"r_dns_a"
322,16,"r_dns_a"
322,18,"r_dns_a"
322,89,"r_cert"
322,504,"r_subdomain"
322,572,"r_request_jump"
324,19,"r_dns_a"
324,20,"r_dns_a"
324,73,"r_dns_a"
324,506,"r_subdomain"
325,507,"r_subdomain"
326,19,"r_dns_a"
326,20,"r_dns_a"
326,19,"r_dns_a"
326,73,"r_dns_a"
326,73,"r_dns_a"
326,317,"r_cert"
327,509,"r_subdomain"
328,47,"r_dns_a"
328,48,"r_dns_a"
328,63,"r_dns_a"
328,125,"r_cert"
328,510,"r_subdomain"
329,35,"r_dns_a"
329,36,"r_dns_a"
329,35,"r_dns_a"
329,77,"r_dns_a"
329,77,"r_dns_a"
329,159,"r_cert"
329,511,"r_subdomain"
330,512,"r_subdomain"
331,40,"r_dns_a"
331,42,"r_dns_a"
331,69,"r_dns_a"
331,142,"r_cert"
331,513,"r_subdomain"
332,35,"r_dns_a"
332,36,"r_dns_a"
332,77,"r_dns_a"
332,130,"r_cert"
332,502,"r_request_jump"
332,516,"r_subdomain"
333,40,"r_dns_a"
333,42,"r_dns_a"
333,69,"r_dns_a"
333,160,"r_cert"
333,517,"r_subdomain"
334,35,"r_dns_a"
334,36,"r_dns_a"
334,77,"r_dns_a"
334,260,"r_cert"
335,209,"r_whois_phone"
335,19,"r_dns_a"
335,20,"r_dns_a"
335,73,"r_dns_a"
335,131,"r_cert"
335,190,"r_whois_name"
335,277,"r_whois_email"
336,572,"r_request_jump"
337,40,"r_dns_a"
337,42,"r_dns_a"
337,69,"r_dns_a"
337,295,"r_cert"
337,518,"r_subdomain"
339,220,"r_whois_phone"
339,221,"r_whois_phone"
339,35,"r_dns_a"
339,36,"r_dns_a"
339,77,"r_dns_a"
339,195,"r_whois_name"
339,519,"r_subdomain"
339,586,"r_whois_email"
340,47,"r_dns_a"
340,48,"r_dns_a"
340,63,"r_dns_a"
340,287,"r_cert"
340,520,"r_subdomain"
341,47,"r_dns_a"
341,48,"r_dns_a"
341,63,"r_dns_a"
341,274,"r_cert"
342,214,"r_whois_phone"
342,215,"r_whois_phone"
342,35,"r_dns_a"
342,36,"r_dns_a"
342,77,"r_dns_a"
342,147,"r_cert"
342,205,"r_whois_name"
342,296,"r_whois_email"
343,207,"r_whois_phone"
343,40,"r_dns_a"
343,42,"r_dns_a"
343,69,"r_dns_a"
343,201,"r_whois_name"
343,344,"r_whois_email"
343,521,"r_subdomain"
345,35,"r_dns_a"
345,36,"r_dns_a"
345,77,"r_dns_a"
345,145,"r_cert"
345,522,"r_subdomain"
346,47,"r_dns_a"
346,48,"r_dns_a"
346,63,"r_dns_a"
346,259,"r_cert"
347,346,"r_request_jump"
348,35,"r_dns_a"
348,36,"r_dns_a"
348,77,"r_dns_a"
348,141,"r_cert"
348,286,"r_whois_email"
349,212,"r_whois_phone"
349,7,"r_cert"
349,19,"r_dns_a"
349,20,"r_dns_a"
349,73,"r_dns_a"
349,188,"r_whois_name"
349,350,"r_whois_email"
351,40,"r_dns_a"
351,42,"r_dns_a"
351,69,"r_dns_a"
351,122,"r_cert"
351,523,"r_subdomain"
352,47,"r_dns_a"
352,48,"r_dns_a"
352,63,"r_dns_a"
352,526,"r_subdomain"
354,219,"r_whois_phone"
354,40,"r_dns_a"
354,42,"r_dns_a"
354,69,"r_dns_a"
354,204,"r_whois_name"
354,374,"r_whois_email"
354,527,"r_subdomain"
355,47,"r_dns_a"
355,48,"r_dns_a"
355,63,"r_dns_a"
355,303,"r_cert"
355,528,"r_subdomain"
356,19,"r_dns_a"
356,20,"r_dns_a"
356,73,"r_dns_a"
357,19,"r_dns_a"
357,20,"r_dns_a"
357,73,"r_dns_a"
357,183,"r_cert"
357,529,"r_subdomain"
359,47,"r_dns_a"
359,48,"r_dns_a"
359,63,"r_dns_a"
359,88,"r_cert"
360,40,"r_dns_a"
360,42,"r_dns_a"
360,59,"r_cert"
360,69,"r_dns_a"
360,530,"r_subdomain"
361,531,"r_subdomain"
362,572,"r_request_jump"
363,533,"r_subdomain"
364,47,"r_dns_a"
364,48,"r_dns_a"
364,63,"r_dns_a"
365,535,"r_subdomain"
366,19,"r_dns_a"
366,20,"r_dns_a"
366,73,"r_dns_a"
366,300,"r_cert"
366,536,"r_subdomain"
367,35,"r_dns_a"
367,36,"r_dns_a"
367,77,"r_dns_a"
367,99,"r_cert"
368,537,"r_subdomain"
369,539,"r_subdomain"
370,40,"r_dns_a"
370,42,"r_dns_a"
370,69,"r_dns_a"
370,252,"r_cert"
370,540,"r_subdomain"
371,541,"r_subdomain"
372,541,"r_request_jump"
375,542,"r_subdomain"
376,544,"r_subdomain"
383,572,"r_request_jump"
384,545,"r_subdomain"
385,206,"r_whois_phone"
385,19,"r_dns_a"
385,20,"r_dns_a"
385,73,"r_dns_a"
385,178,"r_cert"
385,191,"r_whois_name"
385,381,"r_whois_email"
385,547,"r_subdomain"
386,548,"r_subdomain"
387,346,"r_request_jump"
388,550,"r_subdomain"
389,222,"r_whois_phone"
389,40,"r_dns_a"
389,42,"r_dns_a"
389,69,"r_dns_a"
389,148,"r_whois_email"
389,271,"r_cert"
389,413,"r_whois_name"
389,551,"r_subdomain"
391,4,"r_cert"
391,47,"r_dns_a"
391,48,"r_dns_a"
391,63,"r_dns_a"
391,552,"r_subdomain"
392,40,"r_dns_a"
392,42,"r_dns_a"
392,69,"r_dns_a"
392,139,"r_cert"
392,199,"r_whois_phone"
392,553,"r_subdomain"
393,206,"r_whois_phone"
393,177,"r_dns_a"
393,191,"r_whois_name"
393,378,"r_whois_email"
393,554,"r_subdomain"
394,35,"r_dns_a"
394,36,"r_dns_a"
394,77,"r_dns_a"
394,310,"r_cert"
395,35,"r_dns_a"
395,36,"r_dns_a"
395,77,"r_dns_a"
395,555,"r_subdomain"
396,214,"r_whois_phone"
396,215,"r_whois_phone"
396,40,"r_dns_a"
396,42,"r_dns_a"
396,69,"r_dns_a"
396,144,"r_cert"
396,151,"r_whois_email"
396,205,"r_whois_name"
397,556,"r_subdomain"
398,40,"r_dns_a"
398,42,"r_dns_a"
398,69,"r_dns_a"
398,156,"r_cert"
398,558,"r_subdomain"
400,559,"r_subdomain"
401,224,"r_whois_phone"
401,47,"r_dns_a"
401,48,"r_dns_a"
401,63,"r_dns_a"
401,200,"r_whois_name"
401,236,"r_cert"
401,404,"r_whois_email"
402,560,"r_subdomain"
403,35,"r_dns_a"
403,36,"r_dns_a"
403,77,"r_dns_a"
403,143,"r_cert"
405,561,"r_subdomain"
406,47,"r_dns_a"
406,48,"r_dns_a"
406,63,"r_dns_a"
406,100,"r_cert"
406,189,"r_whois_name"
407,562,"r_subdomain"
408,47,"r_dns_a"
408,48,"r_dns_a"
408,63,"r_dns_a"
408,308,"r_cert"
409,563,"r_subdomain"
410,214,"r_whois_phone"
410,215,"r_whois_phone"
410,19,"r_dns_a"
410,20,"r_dns_a"
410,73,"r_dns_a"
410,85,"r_whois_email"
410,205,"r_whois_name"
410,292,"r_cert"
410,565,"r_subdomain"
411,210,"r_whois_phone"
411,40,"r_dns_a"
411,42,"r_dns_a"
411,69,"r_dns_a"
411,203,"r_whois_name"
411,280,"r_cert"
414,47,"r_dns_a"
414,48,"r_dns_a"
414,63,"r_dns_a"
414,123,"r_cert"
414,241,"r_request_jump"
416,219,"r_whois_phone"
416,40,"r_dns_a"
416,42,"r_dns_a"
416,69,"r_dns_a"
416,204,"r_whois_name"
416,234,"r_cert"
416,374,"r_whois_email"
417,40,"r_dns_a"
417,42,"r_dns_a"
417,69,"r_dns_a"
418,566,"r_subdomain"
419,567,"r_subdomain"
420,216,"r_whois_phone"
420,19,"r_dns_a"
420,20,"r_dns_a"
420,73,"r_dns_a"
420,198,"r_whois_name"
420,289,"r_whois_email"
420,301,"r_cert"
420,569,"r_subdomain"
422,572,"r_request_jump"
423,572,"r_subdomain"
424,19,"r_dns_a"
424,20,"r_dns_a"
