source,target,relation
0,52,"r_dns_a"
0,249,"r_cert"
1,26,"r_dns_a"
1,249,"r_cert"
10,9,"r_cidr"
10,193,"r_asn"
79,32,"r_dns_a"
79,249,"r_cert"
80,110,"r_dns_a"
80,249,"r_cert"
81,71,"r_dns_a"
81,249,"r_cert"
82,113,"r_dns_a"
82,249,"r_cert"
83,143,"r_dns_a"
83,249,"r_cert"
84,116,"r_dns_a"
84,249,"r_cert"
85,122,"r_dns_a"
85,249,"r_cert"
86,15,"r_dns_a"
86,249,"r_cert"
87,75,"r_dns_a"
87,249,"r_cert"
88,249,"r_cert"
89,124,"r_dns_a"
89,249,"r_cert"
90,147,"r_dns_a"
90,249,"r_cert"
91,114,"r_dns_a"
91,249,"r_cert"
93,72,"r_dns_a"
93,249,"r_cert"
94,117,"r_dns_a"
94,249,"r_cert"
96,76,"r_dns_a"
96,249,"r_cert"
97,143,"r_dns_a"
97,249,"r_cert"
98,146,"r_dns_a"
98,249,"r_cert"
99,69,"r_dns_a"
99,249,"r_cert"
101,121,"r_dns_a"
101,249,"r_cert"
102,126,"r_dns_a"
102,249,"r_cert"
103,13,"r_dns_a"
103,249,"r_cert"
104,249,"r_cert"
105,115,"r_dns_a"
105,249,"r_cert"
106,75,"r_dns_a"
106,249,"r_cert"
107,201,"r_whois_phone"
107,23,"r_dns_a"
107,108,"r_whois_email"
107,192,"r_cert"
107,198,"r_whois_name"
107,284,"r_subdomain"
127,201,"r_whois_phone"
127,23,"r_dns_a"
127,128,"r_whois_email"
127,192,"r_cert"
127,198,"r_whois_name"
127,285,"r_subdomain"
129,44,"r_dns_a"
129,249,"r_cert"
136,204,"r_whois_phone"
136,71,"r_dns_a"
136,71,"r_dns_a"
136,199,"r_whois_name"
136,249,"r_cert"
136,281,"r_whois_email"
137,60,"r_dns_a"
137,249,"r_cert"
138,113,"r_dns_a"
138,249,"r_cert"
140,119,"r_dns_a"
140,249,"r_cert"
141,125,"r_dns_a"
141,249,"r_cert"
149,33,"r_dns_a"
149,249,"r_cert"
150,249,"r_cert"
151,54,"r_dns_a"
151,249,"r_cert"
152,148,"r_dns_a"
152,249,"r_cert"
153,120,"r_dns_a"
153,249,"r_cert"
155,62,"r_dns_a"
155,249,"r_cert"
156,53,"r_dns_a"
156,249,"r_cert"
157,35,"r_dns_a"
157,249,"r_cert"
158,64,"r_dns_a"
158,249,"r_cert"
159,65,"r_dns_a"
159,249,"r_cert"
160,47,"r_dns_a"
160,249,"r_cert"
161,40,"r_dns_a"
161,249,"r_cert"
162,46,"r_dns_a"
162,249,"r_cert"
163,68,"r_dns_a"
163,249,"r_cert"
164,34,"r_dns_a"
164,249,"r_cert"
167,49,"r_dns_a"
167,249,"r_cert"
166,49,"r_dns_a"
166,249,"r_cert"
165,49,"r_dns_a"
165,249,"r_cert"
168,31,"r_dns_a"
168,249,"r_cert"
169,50,"r_dns_a"
169,249,"r_cert"
170,48,"r_dns_a"
170,249,"r_cert"
171,57,"r_dns_a"
171,249,"r_cert"
172,28,"r_dns_a"
172,249,"r_cert"
173,58,"r_dns_a"
173,249,"r_cert"
174,38,"r_dns_a"
174,249,"r_cert"
175,43,"r_dns_a"
175,249,"r_cert"
176,24,"r_dns_a"
176,249,"r_cert"
177,61,"r_dns_a"
177,249,"r_cert"
178,29,"r_dns_a"
178,249,"r_cert"
179,42,"r_dns_a"
179,249,"r_cert"
180,27,"r_dns_a"
180,249,"r_cert"
181,37,"r_dns_a"
181,249,"r_cert"
182,55,"r_dns_a"
182,249,"r_cert"
183,32,"r_dns_a"
183,249,"r_cert"
184,30,"r_dns_a"
184,249,"r_cert"
185,56,"r_dns_a"
185,249,"r_cert"
186,51,"r_dns_a"
186,249,"r_cert"
187,100,"r_dns_cname"
187,112,"r_dns_a"
187,112,"r_dns_a"
187,249,"r_cert"
188,245,"r_certchain"
189,25,"r_dns_a"
189,249,"r_cert"
190,23,"r_dns_a"
190,23,"r_dns_a"
190,192,"r_cert"
190,286,"r_subdomain"
191,59,"r_dns_a"
191,249,"r_cert"
192,188,"r_certchain"
207,205,"r_whois_phone"
207,10,"r_dns_a"
207,10,"r_dns_a"
207,139,"r_whois_email"
207,195,"r_whois_name"
207,287,"r_subdomain"
208,205,"r_whois_phone"
208,18,"r_dns_a"
208,18,"r_dns_a"
208,139,"r_whois_email"
208,195,"r_whois_name"
208,288,"r_subdomain"
209,205,"r_whois_phone"
209,133,"r_dns_a"
209,133,"r_dns_a"
209,139,"r_whois_email"
209,195,"r_whois_name"
209,289,"r_subdomain"
211,140,"r_dns_cname"
212,140,"r_dns_cname"
213,205,"r_whois_phone"
213,132,"r_dns_a"
213,132,"r_dns_a"
213,139,"r_whois_email"
213,195,"r_whois_name"
213,292,"r_subdomain"
214,118,"r_dns_a"
214,249,"r_cert"
215,202,"r_whois_phone"
215,23,"r_dns_a"
215,192,"r_cert"
215,194,"r_whois_name"
215,210,"r_whois_email"
215,268,"r_whois_email"
215,275,"r_whois_email"
215,293,"r_subdomain"
216,205,"r_whois_phone"
216,20,"r_dns_a"
216,20,"r_dns_a"
216,139,"r_whois_email"
216,195,"r_whois_name"
