source,target,relation
0,146,"r_cert"
0,158,"r_subdomain"
1,146,"r_cert"
1,159,"r_subdomain"
2,4,"r_dns_a"
2,146,"r_cert"
2,153,"r_dns_cname"
2,160,"r_subdomain"
3,146,"r_cert"
3,161,"r_subdomain"
5,146,"r_cert"
5,162,"r_subdomain"
6,4,"r_dns_a"
6,146,"r_cert"
6,163,"r_subdomain"
7,146,"r_cert"
7,164,"r_subdomain"
8,146,"r_cert"
8,165,"r_subdomain"
9,146,"r_cert"
9,166,"r_subdomain"
10,146,"r_cert"
10,167,"r_subdomain"
11,146,"r_cert"
11,168,"r_subdomain"
12,146,"r_cert"
12,169,"r_subdomain"
13,153,"r_dns_cname"
13,170,"r_subdomain"
14,146,"r_cert"
14,171,"r_subdomain"
15,153,"r_dns_cname"
15,173,"r_subdomain"
17,146,"r_cert"
17,174,"r_subdomain"
18,146,"r_cert"
18,175,"r_subdomain"
19,146,"r_cert"
19,176,"r_subdomain"
20,146,"r_cert"
20,177,"r_subdomain"
21,146,"r_cert"
21,178,"r_subdomain"
22,146,"r_cert"
22,179,"r_subdomain"
24,146,"r_cert"
24,180,"r_subdomain"
25,146,"r_cert"
25,182,"r_subdomain"
26,16,"r_dns_a"
26,146,"r_cert"
26,183,"r_subdomain"
27,146,"r_cert"
27,184,"r_subdomain"
28,4,"r_dns_a"
28,146,"r_cert"
28,153,"r_dns_cname"
28,185,"r_subdomain"
29,146,"r_cert"
29,186,"r_subdomain"
30,146,"r_cert"
30,187,"r_subdomain"
31,146,"r_cert"
31,188,"r_subdomain"
32,146,"r_cert"
32,189,"r_subdomain"
33,146,"r_cert"
33,190,"r_subdomain"
34,146,"r_cert"
34,191,"r_subdomain"
35,146,"r_cert"
35,192,"r_subdomain"
36,146,"r_cert"
36,193,"r_subdomain"
37,146,"r_cert"
37,194,"r_subdomain"
38,195,"r_subdomain"
39,4,"r_dns_a"
39,146,"r_cert"
39,153,"r_dns_cname"
39,196,"r_subdomain"
40,146,"r_cert"
40,197,"r_subdomain"
41,4,"r_dns_a"
41,146,"r_cert"
41,198,"r_subdomain"
42,146,"r_cert"
42,199,"r_subdomain"
43,146,"r_cert"
43,200,"r_subdomain"
44,146,"r_cert"
44,201,"r_subdomain"
45,146,"r_cert"
45,202,"r_subdomain"
46,146,"r_cert"
46,203,"r_subdomain"
47,146,"r_cert"
47,204,"r_subdomain"
48,146,"r_cert"
48,206,"r_subdomain"
49,146,"r_cert"
49,208,"r_subdomain"
50,146,"r_cert"
50,209,"r_subdomain"
51,146,"r_cert"
51,210,"r_subdomain"
52,146,"r_cert"
52,211,"r_subdomain"
53,146,"r_cert"
53,212,"r_subdomain"
54,146,"r_cert"
54,213,"r_subdomain"
55,146,"r_cert"
55,214,"r_subdomain"
56,146,"r_cert"
56,215,"r_subdomain"
57,149,"r_cert"
57,216,"r_subdomain"
58,4,"r_dns_a"
58,149,"r_cert"
58,217,"r_subdomain"
59,149,"r_cert"
59,218,"r_subdomain"
60,149,"r_cert"
60,219,"r_subdomain"
